beta,epoch,step,train_kl_div,train_loss,train_recon_cont,train_recon_label,val_kl_div,val_loss,val_recon_cont,val_recon_label
0.0,6,55,6.060300350189209,1.2640759944915771,0.9234527349472046,0.6812465786933899,,,,
0.0,6,55,,,,,7.327507495880127,1.3204336166381836,0.954893946647644,0.7310795783996582
0.0,7,56,6.8256683349609375,1.6085652112960815,1.2574809789657593,0.7021684050559998,,,,
0.0,7,57,6.656607151031494,1.2017829418182373,0.8465947508811951,0.7103763818740845,,,,
0.0,7,58,6.2840189933776855,1.3950800895690918,1.0535262823104858,0.6831077337265015,,,,
0.0,7,59,6.584081649780273,1.586862325668335,1.24617600440979,0.6813727617263794,,,,
0.0,7,60,6.862510681152344,1.2130815982818604,0.8587034940719604,0.7087562084197998,,,,
0.0,7,61,6.701070785522461,1.8832439184188843,1.5328125953674316,0.70086270570755,,,,
0.0,7,62,7.148918628692627,1.1051280498504639,0.737430214881897,0.735395610332489,,,,
0.0,7,63,6.0020365715026855,1.910036325454712,1.5594340562820435,0.7012044191360474,,,,
0.0,7,63,,,,,7.324716567993164,1.3269624710083008,0.9582223296165466,0.7374803423881531
0.0,8,64,6.291025161743164,1.5212311744689941,1.1819353103637695,0.6785916090011597,,,,
0.0,8,65,6.865094184875488,1.2311067581176758,0.8675505518913269,0.7271125316619873,,,,
0.0,8,66,7.00544548034668,1.2297852039337158,0.8716579675674438,0.7162543535232544,,,,
0.0,8,67,6.59127140045166,1.4327054023742676,1.076632022857666,0.7121467590332031,,,,
0.0,8,68,6.730099678039551,1.5843744277954102,1.2355698347091675,0.6976091861724854,,,,
0.0,8,69,6.791249752044678,1.3765851259231567,1.0116513967514038,0.7298674583435059,,,,
0.0,8,70,6.454951286315918,1.709364891052246,1.3641300201416016,0.6904696226119995,,,,
0.0,8,71,5.660691261291504,0.8309446573257446,0.5144538879394531,0.632981538772583,,,,
0.0,8,71,,,,,7.324831485748291,1.3273167610168457,0.9555985927581787,0.7434365749359131
0.0,9,72,6.5120086669921875,1.8155574798583984,1.4702191352844238,0.690676748752594,,,,
0.0,9,73,6.372620105743408,1.7794229984283447,1.4385392665863037,0.6817673444747925,,,,
0.0,9,74,6.860237121582031,1.1244425773620605,0.7664576768875122,0.7159697413444519,,,,
0.0,9,75,6.580010890960693,1.2871659994125366,0.9337319731712341,0.706868052482605,,,,
0.0,9,76,6.319937229156494,1.4349005222320557,1.0875250101089478,0.6947510242462158,,,,
0.0,9,77,7.007660388946533,1.6039488315582275,1.2467796802520752,0.7143383026123047,,,,
0.0,9,78,6.624463081359863,1.572136402130127,1.2200218439102173,0.7042292356491089,,,,
0.0,9,79,7.417867660522461,0.9872636198997498,0.6257044672966003,0.7231183052062988,,,,
