beta,epoch,step,train_kl_div,train_loss,train_recon_cat,train_recon_cont,val_kl_div,val_loss,val_recon_cat,val_recon_cont
0.0,6,101,156.15780639648438,1.350254774093628,0.5711717009544373,0.7790830135345459,,,,
0.0,6,102,261.1156311035156,1.2322930097579956,0.5692295432090759,0.6630634665489197,,,,
0.0,6,103,434.6028747558594,1.477043867111206,0.5102546215057373,0.966789186000824,,,,
0.0,6,104,91.88442993164062,1.2173173427581787,0.5673662424087524,0.649951159954071,,,,
0.0,6,104,,,,,227.36199951171875,1.40243399143219,0.5659138560295105,0.8365201950073242
0.0,7,105,274.84197998046875,1.2852672338485718,0.5362071394920349,0.7490600943565369,,,,
0.0,7,106,527.9088745117188,1.6253070831298828,0.5007951855659485,1.124511957168579,,,,
0.0,7,107,436.2928466796875,1.263765573501587,0.519720196723938,0.7440453767776489,,,,
0.0,7,108,270.7860107421875,1.3919038772583008,0.5742748975753784,0.8176290392875671,,,,
0.0,7,109,573.9466552734375,1.450396180152893,0.5192769765853882,0.9311192035675049,,,,
0.0,7,110,1288.8818359375,1.6945279836654663,0.4481501281261444,1.2463778257369995,,,,
0.0,7,111,432.241943359375,1.0555893182754517,0.5146796107292175,0.5409097075462341,,,,
0.0,7,112,194.6895751953125,1.1883735656738281,0.5460575222969055,0.6423161029815674,,,,
0.0,7,113,506.6106872558594,1.425911784172058,0.501333475112915,0.9245783090591431,,,,
0.0,7,114,434.6040344238281,1.18672776222229,0.47271597385406494,0.7140118479728699,,,,
0.0,7,115,1618.372314453125,1.4903123378753662,0.4605572819709778,1.0297551155090332,,,,
0.0,7,116,380.3369140625,1.0600340366363525,0.48646309971809387,0.5735709071159363,,,,
0.0,7,117,545.712646484375,1.366014003753662,0.5218411684036255,0.8441728353500366,,,,
0.0,7,118,598.50537109375,1.079270601272583,0.4624863862991333,0.6167841553688049,,,,
0.0,7,119,43.10627746582031,1.2165770530700684,0.5783970355987549,0.6381800174713135,,,,
0.0,7,119,,,,,476.2205810546875,1.2851591110229492,0.5043412446975708,0.7808178663253784
0.0,8,120,1647.52880859375,1.072251796722412,0.4357369840145111,0.6365147829055786,,,,
0.0,8,121,995.0897216796875,1.2071101665496826,0.384075403213501,0.8230347037315369,,,,
0.0,8,122,577.7990112304688,1.131423830986023,0.47307369112968445,0.6583501696586609,,,,
0.0,8,123,858.7378540039062,1.8122363090515137,0.5291910767555237,1.2830451726913452,,,,
0.0,8,124,511.460693359375,0.9636346101760864,0.3842979073524475,0.5793367028236389,,,,
0.0,8,125,1380.639404296875,1.215533971786499,0.4530622065067291,0.7624717950820923,,,,
0.0,8,126,948.8331298828125,1.0451072454452515,0.37262657284736633,0.6724807024002075,,,,
0.0,8,127,4027.936279296875,1.4027169942855835,0.3965100944042206,1.0062068700790405,,,,
0.0,8,128,429.89825439453125,0.9585251212120056,0.4045257568359375,0.5539993643760681,,,,
0.0,8,129,1373.53857421875,1.5310559272766113,0.3979167938232422,1.1331391334533691,,,,
